#tstp   Ax    Ay
-1  0  0
0  -0.00531416  -0.00531416
1  -0.00533522  -0.00533522
2  -0.00535542  -0.00535542
3  -0.00537473  -0.00537473
4  -0.00539314  -0.00539314
5  -0.00541061  -0.00541061
6  -0.00542712  -0.00542712
7  -0.00544264  -0.00544264
8  -0.00545714  -0.00545714
9  -0.0054706  -0.0054706
10  -0.00548299  -0.00548299
11  -0.00549428  -0.00549428
12  -0.00550444  -0.00550444
13  -0.00551344  -0.00551344
14  -0.00552125  -0.00552125
15  -0.00552784  -0.00552784
16  -0.00553319  -0.00553319
17  -0.00553725  -0.00553725
18  -0.00554001  -0.00554001
19  -0.00554142  -0.00554142
20  -0.00554146  -0.00554146
21  -0.0055401  -0.0055401
22  -0.00553729  -0.00553729
23  -0.00553302  -0.00553302
24  -0.00552724  -0.00552724
25  -0.00551993  -0.00551993
26  -0.00551104  -0.00551104
27  -0.00550055  -0.00550055
28  -0.00548841  -0.00548841
29  -0.0054746  -0.0054746
30  -0.00545908  -0.00545908
31  -0.00544181  -0.00544181
32  -0.00542276  -0.00542276
33  -0.00540189  -0.00540189
34  -0.00537916  -0.00537916
35  -0.00535454  -0.00535454
36  -0.00532798  -0.00532798
37  -0.00529946  -0.00529946
38  -0.00526893  -0.00526893
39  -0.00523635  -0.00523635
40  -0.00520168  -0.00520168
41  -0.0051649  -0.0051649
42  -0.00512594  -0.00512594
43  -0.00508479  -0.00508479
44  -0.00504138  -0.00504138
45  -0.0049957  -0.0049957
46  -0.00494768  -0.00494768
47  -0.0048973  -0.0048973
48  -0.00484451  -0.00484451
49  -0.00478926  -0.00478926
50  -0.00473153  -0.00473153
51  -0.00467125  -0.00467125
52  -0.0046084  -0.0046084
53  -0.00454292  -0.00454292
54  -0.00447478  -0.00447478
55  -0.00440393  -0.00440393
56  -0.00433033  -0.00433033
57  -0.00425392  -0.00425392
58  -0.00417468  -0.00417468
59  -0.00409254  -0.00409254
60  -0.00400747  -0.00400747
61  -0.00391942  -0.00391942
62  -0.00382835  -0.00382835
63  -0.00373421  -0.00373421
64  -0.00363695  -0.00363695
65  -0.00353653  -0.00353653
66  -0.0034329  -0.0034329
67  -0.00332601  -0.00332601
68  -0.00321582  -0.00321582
69  -0.00310227  -0.00310227
70  -0.00298533  -0.00298533
71  -0.00286494  -0.00286494
72  -0.00274105  -0.00274105
73  -0.00261362  -0.00261362
74  -0.0024826  -0.0024826
75  -0.00234794  -0.00234794
76  -0.0022096  -0.0022096
77  -0.00206751  -0.00206751
78  -0.00192164  -0.00192164
79  -0.00177193  -0.00177193
80  -0.00161834  -0.00161834
81  -0.00146081  -0.00146081
82  -0.0012993  -0.0012993
83  -0.00113376  -0.00113376
84  -0.000964132  -0.000964132
85  -0.000790373  -0.000790373
86  -0.000612432  -0.000612432
87  -0.000430259  -0.000430259
88  -0.000243804  -0.000243804
89  -5.30162e-05  -5.30162e-05
90  0.000142153  0.000142153
91  0.000341755  0.000341755
92  0.000545838  0.000545838
93  0.000754453  0.000754453
94  0.000967651  0.000967651
95  0.00118548  0.00118548
96  0.00140799  0.00140799
97  0.00163523  0.00163523
98  0.00186726  0.00186726
99  0.00210411  0.00210411
100  0.00234585  0.00234585
101  0.00259251  0.00259251
102  0.00284415  0.00284415
103  0.00310083  0.00310083
104  0.00336257  0.00336257
105  0.00362945  0.00362945
106  0.0039015  0.0039015
107  0.00417877  0.00417877
108  0.00446132  0.00446132
109  0.00474918  0.00474918
110  0.00504242  0.00504242
111  0.00534106  0.00534106
112  0.00564517  0.00564517
113  0.00595479  0.00595479
114  0.00626997  0.00626997
115  0.00659074  0.00659074
116  0.00691717  0.00691717
117  0.00724928  0.00724928
118  0.00758714  0.00758714
119  0.00793078  0.00793078
120  0.00828025  0.00828025
121  0.00863559  0.00863559
122  0.00899684  0.00899684
123  0.00936405  0.00936405
124  0.00973727  0.00973727
125  0.0101165  0.0101165
126  0.0105019  0.0105019
127  0.0108933  0.0108933
128  0.011291  0.011291
129  0.0116948  0.0116948
130  0.0121049  0.0121049
131  0.0125213  0.0125213
132  0.012944  0.012944
